Subject,Deltas Numbers,number of subjects
urban fantasy,-10.74,1
paranormal,-10.71,1
childrens,-8.73,1
"adventure, nonfiction",-7.25,1
humor,-6.7,1
paranormal romance,-6.62,1
novels,-6.5,1
graphic novels,-5.62,1
picture books,-5.49,1
travel,-5.28,1
biography,-5.18,1
"comics, middle grade",-4.99,2
vampires,-4.91,1
young adult,-4.63,1
food,-4.5,1
comedy,-4.49,1
magic,-4.18,1
animals,-4.12,1
"poetry, realistic fiction",-4,2
memoir,-3.92,1
cooking,-3.38,1
"cookbooks, storytime",-3.25,2
"graphic novels comics, high fantasy",-3,1
biography memoir,-2.96,1
science fiction fantasy,-2.89,1
epic fantasy,-2.75,1
zombies,-2.5,1
autobiography,-2.4,1
teen,-2.25,1
school,-2,1
adult fiction,-1.79,1
"apocalyptic, historical romance, new adult, nutrition, post apocalyptic, reference",-1.75,6
china,-1.63,1
"angels, supernatural, werewolves",-1.5,3
"book club, technology",-1.38,2
"fairy tales, friendship, steampunk",-1.25,3
science,-1.18,1
british literature,-1.13,1
chick lit,-1.09,1
"asia, nature, parenting, philosophy",-1.01,4
"american, comic book, detective, erotica, foodie, ghosts, literature, romantic suspense, shapeshifters",-1,9
war,-0.8,1
religion,-0.76,1
"action, aliens, college, dark fantasy, demons, high school, juvenile, vegan",-0.75,8
crime,-0.74,1
science fiction,-0.65,1
military fiction,-0.64,1
france,-0.63,1
"abuse, africa, asian literature, culinary, cults, food and drink, mental illness, presidents, writing",-0.5,9
world war ii,-0.39,1
"canada, environment, music",-0.38,3
dystopia,-0.32,1
"sociology, space opera",-0.26,2
"anthologies, bdsm, biology, cultural, economics, india, leadership, m m romance, manga, marvel, medical, military science fiction, russia, spirituality, superheroes, young adult contemporary",-0.25,16
fantasy,-0.19,1
"classics, new york",-0.13,2
"art, drama",-0.01,2
"anti racist, climate change, dc comics, death, faith, holocaust, love, physics",0,8
sports,0.11,1
"disability, espionage, greek mythology",0.12,3
"african american, civil war, westerns",0.24,3
business,0.34,1
"birds, christian, dark, second chance",0.37,4
witches,0.46,1
"coming of age, time travel, womens",0.48,3
psychology,0.56,1
"books about books, space",0.59,1
"grief, pop culture, young adult romance",0.61,3
american history,0.7,1
"essays, family",0.71,2
"personal development, speculative fiction",0.73,1
"ireland, medicine, productivity, psychological thriller, sports romance",0.74,5
suspense,0.78,1
"friends to lovers, short stories",0.86,2
self help,0.95,1
"native american, novella",1.23,2
true crime,1.43,1
dragons,1.46,1
social justice,1.59,1
dark romance,1.84,1
history,1.92,1
young adult fantasy,1.96,1
magical realism,2.05,1
politics,2.15,1
mental health,2.56,1
health,2.65,1
fae,2.92,1
indigenous,2.95,1
feminism,3.03,1
"race, retellings",3.06,2
mythology,3.53,1
lesbian,3.68,1
enemies to lovers,4.17,1
gothic,4.78,1
contemporary romance,4.98,1
historical,5.61,1
horror,6.12,1
historical fiction,6.79,1
queer,7.71,1
fantasy romance,7.73,1
lgbt,7.93,1
romance,9.26,1
literary fiction,9.62,1
mystery thriller,10.34,1
mystery,10.52,1
thriller,11.01,1
romantasy,11.4,1
contemporary,11.42,1
adult,13.16,1
fiction,13.28,1
audiobook,49.37,1