Year,Subject,Book Count,Year Book Total,Percent_True,Percent_True,Percent-Rounded
2024,lgbt,31,300,10.33333333,10.33333333,10.34
2024,queer,27,300,9,9,9
2024,romance,98,300,32.66666667,32.66666667,32.67
2023,lgbt,32,299,10.70234114,10.70234114,10.71
2023,queer,54,299,18.06020067,18.06020067,18.07
2023,romance,191,299,63.87959866,63.87959866,63.88
2022,lgbt,46,340,13.52941176,13.52941176,13.53
2022,queer,37,340,10.88235294,10.88235294,10.89
2022,romance,65,340,19.11764706,19.11764706,19.12
2021,lgbt,49,340,14.41176471,14.41176471,14.42
2021,queer,38,340,11.17647059,11.17647059,11.18
2021,romance,65,340,19.11764706,19.11764706,19.12
2020,lgbt,50,399,12.53132832,12.53132832,12.54
2020,queer,38,399,9.523809524,9.523809524,9.53
2020,romance,42,399,10.52631579,10.52631579,10.53
2019,lgbt,39,400,9.75,9.75,9.75
2019,queer,32,400,8,8,8
2019,romance,45,400,11.25,11.25,11.25
2018,lgbt,21,420,5,5,5
2018,queer,15,420,3.571428571,3.571428571,3.58
2018,romance,47,420,11.19047619,11.19047619,11.2
2017,lgbt,27,400,6.75,6.75,6.75
2017,queer,21,400,5.25,5.25,5.25
2017,romance,36,400,9,9,9
2016,lgbt,24,400,6,6,6
2016,queer,12,400,3,3,3
2016,romance,49,400,12.25,12.25,12.25
2015,lgbt,19,400,4.75,4.75,4.75
2015,queer,14,400,3.5,3.5,3.5
2015,romance,60,400,15,15,15
2014,lgbt,10,399,2.506265664,2.506265664,2.51
2014,queer,7,399,1.754385965,1.754385965,1.76
2014,romance,57,399,14.28571429,14.28571429,14.29
2013,lgbt,7,400,1.75,1.75,1.75
2013,queer,5,400,1.25,1.25,1.25
2013,romance,80,400,20,20,20
2012,lgbt,10,399,2.506265664,2.506265664,2.51
2012,queer,7,399,1.754385965,1.754385965,1.76
2012,romance,83,399,20.80200501,20.80200501,20.81
2011,lgbt,7,440,1.590909091,1.590909091,1.6
2011,queer,3,440,0.6818181818,0.6818181818,0.69
2011,romance,76,440,17.27272727,17.27272727,17.28